Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
350.7,353.85,348.37,353.85,13739800,17.2094915289276,356.316483057855,287.478516942145,347.73,339.95,337.64,338.25,339.09,342.752,335.874,321.8975,290.102,255.7855,344.451709831756,344.451709831756,344.451709831756,344.451709831756,344.451709831756,16.4488220044542,14.7186341617971,7.50029247140985,65.549509661821,1333.33333333333,11.6034819907904,83.6039456776506,0,100,0.0128861706577135,84087576.0000001,845684690,31,2,304,44,1,0,0,0,0,0,0,2007,10,48.87,48.19,48.09,47.75,47.748,47.425,45.3374,1549.38,1531.02,1515.88,13930.01,13792.47,13675.25,351.96
351.75,357.22,351.24,351.96,13041300,16.7134935952336,358.432487190467,291.578512809533,353.85,347.73,339.95,334.59,350.7,346.226,339.057,325.0055,292.0086,256.3245,346.95447322117,346.95447322117,346.95447322117,346.95447322117,346.95447322117,16.6869522174039,15.1122977729185,7.39170015202343,66.6560251526977,1333.33333333333,9.94283572298753,80.8692124347917,-10.3299293008642,89.6700706991358,0.0108359164375407,-24648057.0000006,810647208,1,3,305,44,0,1,0,0,0,0,0,2007,11,47.96,48.87,48.19,47.11,47.768,47.524,45.4506,1508.44,1549.38,1514.4,13567.87,13930.01,13671.92,355.98
355.61,357.15,349.02,355.98,11671300,16.746342027912,361.431184055824,294.445815944176,351.96,353.85,347.73,337.64,351.75,349.894,342.387,327.9385,294.0012,256.8788,349.962982147447,349.962982147447,349.962982147447,349.962982147447,349.962982147447,17.0040405356135,15.4906463254575,7.44443585545033,67.1026148698892,1333.33333333333,10.3198214949796,82.2027065089708,-2.43519245875885,97.5648075412412,0.0108262162834989,46918626.0000005,684638458,2,4,306,44,0,0,0,0,0,0,0,2007,11,48.33,47.96,48.87,47.89,47.944,47.595,45.5733999999999,1509.65,1508.44,1535.28,13595.1,13567.87,13806.7,363.19
353.85,365.48,353.39,363.19,17749600,17.5944631242787,366.030926248557,295.653073751443,355.98,351.96,353.85,339.95,355.61,354.542,346.136,330.842,296.1098,257.49145,354.371988098298,354.371988098298,354.371988098298,354.371988098298,354.371988098298,17.6338500095883,15.9192870622836,7.77626186577531,67.8146015992918,1333.33333333333,11.5105925698496,84.3144959545618,-4.21188155232669,95.7881184476733,0.0112886622479555,127974616,1030719272,5,0,309,45,0,0,0,0,0,0,0,2007,11,48.02,48.33,47.96,48.09,48.033,47.636,45.6781999999999,1502.17,1509.65,1540.98,13543.4,13595.1,13870.26,371.27
369.15,371.27,362.86,371.27,16855700,18.902850655252,371.816201310504,296.204798689496,363.19,355.98,351.96,347.73,353.85,359.25,349.441,334.0105,298.3974,258.149,360.004658732199,360.004658732199,360.004658732199,360.004658732199,360.004658732199,18.5708933295448,16.4496083157359,7.82152887536279,68.6446564146887,1333.33333333333,9.77174620069776,86.2793572136864,0,100,0.0111568826818563,136194056,1068145709,6,1,310,45,0,0,0,0,0,0,0,2007,11,48.56,48.02,48.33,48.19,48.077,47.6935,45.7993999999999,1520.27,1502.17,1531.02,13660.94,13543.4,13792.47,366.84
370.94,373.99,361.93,366.84,16530400,19.5756415771724,375.853283154345,297.550716845655,371.27,363.19,355.98,353.85,369.15,361.848,352.3,336.702,300.6652,258.7343,362.283105821466,362.283105821466,362.283105821466,362.283105821466,362.283105821466,18.7400196533905,16.9076905832668,8.12427681283687,69.4882670276053,1333.33333333333,8.45232815964522,80.3374164132951,-12.8759229245453,87.1240770754547,0.0153124354854822,-73229672.0000001,889831432,7,2,311,45,0,0,0,0,0,0,0,2007,11,47.38,48.56,48.02,48.87,48.04,47.6865,45.9172,1475.62,1520.27,1549.38,13300.02,13660.94,13930.01,347.27
367.67,367.81,338.93,347.27,32991300,18.7549039201126,376.009807840225,300.990192159775,366.84,371.27,363.19,351.96,370.94,360.91,353.568,338.5,302.4766,259.2492,357.278737214311,357.278737214311,357.278737214311,357.278737214311,357.278737214311,17.0978249538009,16.9457174573736,9.60682846906281,66.2615887824242,1333.33333333333,3.78971278280881,60.5115739174259,-48.1181343417972,51.8818656582028,0.031615491151974,-645639741,1186367148,8,3,312,45,0,0,0,0,0,0,0,2007,11,45.94,47.38,48.56,47.96,47.923,47.645,45.9824,1474.77,1475.62,1508.44,13266.29,13300.02,13567.87,332.32
338.23,341.28,330.94,332.32,22753400,18.2564429794849,375.67838595897,302.65261404103,347.27,366.84,371.27,355.98,367.67,356.178,353.036,339.1655,304.0038,259.66995,348.959158142874,348.959158142874,348.959158142874,348.959158142874,348.959158142874,14.4237655743069,16.4413270807603,10.0870550069869,62.3396469117114,1333.33333333333,-1.57564269636299,50.2995281598987,-94.9635369188697,5.03646308113031,0.0349289622766462,-340163330,302847754,9,4,313,45,0,0,0,0,0,0,0,2007,11,44.4,45.94,47.38,48.33,47.574,47.488,46.0124,1453.7,1474.77,1509.65,13042.74,13266.29,13595.1,316.35
329.2,335.3,313.42,316.35,20434100,17.8033626259058,375.071225251812,303.857774748189,332.32,347.27,366.84,363.19,338.23,346.81,350.676,339.4645,305.1732,260.0193,338.089438761916,338.089438761916,338.089438761916,338.089438761916,338.089438761916,10.8903712960788,15.331135923824,10.9294082207735,58.6470984099488,1333.33333333333,-6.94219738196793,42.121847910277,-95.1626217599472,4.83737824005284,0.0318093859248529,-326332576.999999,122195918,12,0,316,46,0,0,0,0,0,0,0,2007,11,43.28,44.4,45.94,48.02,47.093,47.293,46.0104,1439.18,1453.7,1502.17,12987.55,13042.74,13543.4,330.61
322.82,330.79,316.35,330.61,16873900,16.3918617403825,373.363223480765,307.795776519235,316.35,332.32,347.27,371.27,329.2,338.678,348.964,340.5795,306.5286,260.4353,335.596292507944,335.596292507944,335.596292507944,335.596292507944,335.596292507944,9.13548550776812,14.0920058406128,11.1801647764326,55.2183033725979,1333.33333333333,-4.92336007822161,49.9470441363921,-71.6196136701337,28.3803863298663,0.0409420051478304,240621814,376287970,13,1,317,46,0,0,0,0,0,0,0,2007,11,45.06,43.28,44.4,48.56,46.78,47.1985,46.0296,1481.05,1439.18,1520.27,13307.09,12987.55,13660.94,321.16
336.98,338.08,318.45,321.16,16173200,16.1053751978395,372.995250395679,308.573749604321,330.61,316.35,332.32,366.84,322.82,329.542,345.695,340.7845,307.6686,260.7861,330.784195005296,330.784195005296,330.784195005296,330.784195005296,330.784195005296,6.90262073906013,12.6541288203023,11.7837244352588,51.3465635960733,1333.33333333333,-9.23837784371909,45.5517992038929,-87.221396731055,12.778603268945,0.0405672163249486,-152836740,66310120.0000004,14,2,318,46,0,0,0,0,0,0,0,2007,11,44.48,45.06,43.28,47.38,46.341,47.0445,46.0462,1470.58,1481.05,1475.62,13231.01,13307.09,13300.02,315.14
319.6,324.07,312.31,315.14,13921400,16.4765640580165,373.488128116033,307.581871883967,321.16,330.61,316.35,347.27,336.98,323.116,342.013,340.535,308.731,261.1562,325.569463336864,325.569463336864,325.569463336864,325.569463336864,325.569463336864,4.59433500016854,11.0421700562755,11.7820298327403,48.2687114366272,1333.33333333333,-10.461416070008,42.9583922252812,-95.4118028534371,4.58819714656288,0.037482829767126,-83806828.0000005,-69467786.0000001,15,3,319,46,0,0,0,0,0,0,0,2007,11,44.24,44.48,45.06,45.94,45.969,46.8685,46.0585999999999,1451.15,1470.58,1474.77,13110.05,13231.01,13266.29,317.13
317.29,318.06,308.32,317.13,18067500,16.8359248960456,373.929349792091,306.585650207909,315.14,321.16,330.61,332.32,319.6,320.078,338.128,340.2575,309.875,261.5369,322.756308891243,322.756308891243,322.756308891243,322.756308891243,322.756308891243,2.89223836713188,9.4121837184468,11.6361705589732,45.7299140334564,1333.33333333333,-10.9135344682286,44.0915333197347,-86.5844373382062,13.4155626617938,0.0359251634050423,35954325.0000002,-100274625,16,4,320,46,0,0,0,0,0,0,0,2007,11,44.65,44.24,44.48,44.4,45.601,46.7725,46.0954,1458.74,1451.15,1453.7,13176.79,13110.05,13042.74,313.24
315.11,318.7,309.56,313.24,11043700,17.6154550787541,374.865410157508,304.403589842492,317.13,315.14,321.16,316.35,317.29,319.456,333.133,339.6345,310.9898,261.93405,319.584205927495,319.584205927495,319.584205927495,319.584205927495,319.584205927495,1.21541350230683,7.77282967521881,11.4578726619037,43.3052739740465,1333.33333333333,-13.7531319694926,42.3216836593538,-92.5079945180447,7.49200548195525,0.0290566654451168,-42959992.9999999,-137604502,19,0,323,47,0,0,0,0,0,0,0,2007,11,44.14,44.65,44.24,43.28,45.213,46.623,46.1226,1433.27,1458.74,1439.18,12958.44,13176.79,12987.55,324.59
318.56,329.88,316.75,324.59,19661500,17.9338377904664,374.820675580933,303.085324419067,313.24,317.13,315.14,330.61,315.11,318.252,328.465,338.953,312.263,262.3771,321.252803951664,321.252803951664,321.252803951664,321.252803951664,321.252803951664,0.793224066876292,6.3769085535503,11.8280246146248,40.4535820782257,1333.33333333333,-12.5730600371697,48.781748363024,-75.2246078879245,24.7753921120755,0.0255612969594124,223158024.999999,-267986245.000001,20,1,324,47,0,0,0,0,0,0,0,2007,11,44.32,44.14,44.65,45.06,44.789,46.433,46.1404,1439.7,1433.27,1481.05,13010.14,12958.44,13307.09,330.59
322.21,335.32,321.36,330.59,14012900,18.0311718392001,374.6323436784,302.5076563216,324.59,313.24,317.13,321.16,318.56,320.138,324.84,338.57,313.643,262.85385,324.365202634442,324.365202634442,324.365202634442,324.365202634442,324.365202634442,0.932041756303931,5.28793519410103,11.980308570723,38.2636699608995,1333.33333333333,-9.88169229091702,51.8517916345621,-66.0880158367596,33.9119841632404,0.0224500915402178,84077400,-107338814,21,2,325,47,0,0,0,0,0,0,0,2007,11,43.79,44.32,44.14,44.48,44.43,46.235,46.1474,1416.77,1439.7,1470.58,12799.04,13010.14,13231.01,338.69
335.34,339.48,334.39,338.69,5471900,18.0068313060415,374.788662612083,302.761337387917,330.59,324.59,313.24,315.14,322.21,324.848,323.982,338.775,315.1638,263.36855,329.140135089628,329.140135089628,329.140135089628,329.140135089628,329.140135089628,1.67633434196603,4.56561502367403,11.7595722442428,36.5641331351502,1333.33333333333,-2.47070003167564,55.7112930128735,-53.7536165676869,46.2463834323131,0.0185175716008371,44322390.0000001,22434790.0000001,23,4,327,47,0,0,0,0,0,0,0,2007,11,44.26,43.79,44.32,44.24,44.262,46.0925,46.1596,1440.7,1416.77,1451.15,12980.88,12799.04,13110.05,333.33
340.44,347.05,332.83,333.33,13566600,18.0468753601055,374.653250720211,302.465749279789,338.69,330.59,324.59,317.13,335.34,328.088,324.083,338.5595,316.5376,263.8793,330.536756726419,330.536756726419,330.536756726419,330.536756726419,330.536756726419,1.81278768580989,4.0150495561012,11.9353170839398,35.5493003119772,1333.33333333333,0.303923928743377,52.7008320813921,-61.9156388000609,38.0843611999391,0.023092321250162,-72716976.0000002,-58472046,26,0,330,48,0,0,0,0,0,0,0,2007,11,43.5,44.26,43.79,44.65,44.172,45.873,46.1558,1407.22,1440.7,1458.74,12743.44,12980.88,13176.79,337.12
337.74,338.55,325.46,337.12,17791100,18.0464936381449,374.51098727629,302.32501272371,333.33,338.69,330.59,313.24,340.44,332.864,326.16,338.418,318.0218,264.41805,332.731171150946,332.731171150946,332.731171150946,332.731171150946,332.731171150946,2.20137320949601,3.65231428678016,12.0177944350869,33.8365240383141,1333.33333333333,6.56551288130235,54.5701789178885,-56.1443581544084,43.8556418455916,0.0194724444386854,67428269.0000004,-50348812.9999997,27,1,331,48,0,0,0,0,0,0,0,2007,11,44.37,43.5,44.26,44.14,44.281,45.687,46.1766,1428.23,1407.22,1433.27,12958.44,12743.44,12958.44,346.48
341.4,347.5,336.41,346.48,15817100,18.0146827469625,374.384865493925,302.326134506075,337.12,333.33,338.69,324.59,337.74,337.242,327.747,338.3555,319.5934,265.00155,337.314114100631,337.314114100631,337.314114100631,337.314114100631,337.314114100631,3.2274003495977,3.56733149934367,11.9515234040093,32.8990070025561,1333.33333333333,4.80021777925653,58.8912551274977,-35.8547655068078,64.1452344931922,0.0174184211250581,148048056,-19771375,28,2,332,48,0,0,0,0,0,0,0,2007,11,45.72,44.37,43.5,44.32,44.347,45.5635,46.2026,1469.02,1428.23,1439.7,13289.45,12958.44,13010.14,348.85
345.72,351.75,344.23,348.85,12403500,17.8220030993631,373.749506198726,302.461493801274,346.48,337.12,333.33,330.59,341.4,340.894,330.516,338.1055,321.0964,265.5798,341.15940940042,341.15940940042,341.15940940042,341.15940940042,341.15940940042,4.18354810495265,3.69057482046547,11.6349860180086,32.3128045864905,1333.33333333333,8.62187071864491,59.930509593201,-6.67741192723918,93.3225880727608,0.0173232479327439,29396295.0000001,-62017500,29,3,333,48,0,0,0,0,0,0,0,2007,11,45.91,45.72,44.37,43.79,44.49,45.4155,46.2301999999999,1469.72,1469.02,1416.77,13311.73,13289.45,12799.04,346.85
355.86,355.89,341.4,346.85,15775200,17.6487148779204,373.147429755841,302.552570244159,348.85,346.48,337.12,338.69,345.72,342.526,333.687,337.85,322.4996,266.1592,343.056272933614,343.056272933614,343.056272933614,343.056272933614,343.056272933614,4.72544679527402,3.89754921542718,11.8389155881509,32.0376175872367,1333.33333333333,10.0621945801866,58.5845345751452,-19.0035736808912,80.9964263191088,0.016666075313623,-31550400,-80611271.9999993,30,4,334,48,1,0,0,0,0,0,0,2007,11,45.57,45.91,45.72,44.26,44.623,45.296,46.2534,1481.14,1469.72,1440.7,13371.72,13311.73,12980.88,341.11
345.85,347.85,340.91,341.11,8641500,17.1509405220092,371.408381044018,302.804618955982,346.85,348.85,346.48,333.33,355.86,344.082,336.085,337.1065,323.7152,266.6887,342.407515289076,342.407515289076,342.407515289076,342.407515289076,342.407515289076,4.63826831281608,4.04569303490496,11.4889930461401,31.7239391307863,1333.33333333333,7.56156781130767,54.7818336233601,-31.0700021021652,68.9299978978348,0.0168923544909914,-49602210.0000001,-128499105,3,0,337,49,0,0,0,0,0,0,0,2007,12,45.19,45.57,45.91,43.5,44.677,45.139,46.2628,1472.42,1481.14,1407.22,13314.57,13371.72,12743.44,342.42
339.49,346.35,338.9,342.42,8455100,16.0840802626311,368.236160525262,303.899839474738,341.11,346.85,348.85,337.12,345.85,345.142,339.003,336.068,324.8778,267.21935,342.411676859384,342.411676859384,342.411676859384,342.411676859384,342.411676859384,4.62160974892089,4.16087637770815,11.2004935428444,31.1843728860802,1333.33333333333,9.31554079938705,55.4918893511068,-28.3161656506201,71.6838343493799,0.0164840577003089,11076181,-175612427,4,1,338,49,0,0,0,0,0,0,0,2007,12,45,45.19,45.57,44.37,44.763,44.988,46.2642,1462.79,1472.42,1428.23,13248.73,13314.57,12958.44,349.6
346.71,349.81,344.09,349.6,8410700,14.2084294754177,363.401358950835,306.567641049165,342.42,341.11,346.85,346.48,339.49,345.766,341.504,334.9845,326.1742,267.7765,344.807784572923,344.807784572923,344.807784572923,344.807784572923,344.807784572923,5.12865378291855,4.35443185875023,10.9283154326412,30.9436469770802,1333.33333333333,7.70510490156815,59.2672707362582,-13.2226192978767,86.7773807021233,0.0140570206613064,60388826.0000001,-182259869,5,2,339,49,0,0,0,0,0,0,0,2007,12,45.81,45,45.19,45.72,44.912,44.8505,46.2734,1485.01,1462.79,1469.02,13444.96,13248.73,13289.45,357.99
349.25,358.64,348.85,357.99,9808100,13.2710090045943,361.084018009189,307.999981990811,349.6,342.42,341.11,348.85,346.71,347.594,344.244,334.542,327.6468,268.37565,349.201856381948,349.201856381948,349.201856381948,349.201856381948,349.201856381948,6.13675205704294,4.71089589840877,10.8470071874525,31.3216739944218,1333.33333333333,8.28821198463355,63.1958920374102,-1.29173290937992,98.7082670906201,0.0172943799230432,82289958.9999999,-86801684.9999997,6,3,340,49,0,0,0,0,0,0,0,2007,12,46.46,45.81,45,45.91,45.179,44.8045,46.291,1507.34,1485.01,1469.72,13619.89,13444.96,13311.73,357.79
357.85,359.36,355.61,357.79,7696400,13.9909894311725,363.049978862345,307.086021137655,357.99,349.6,342.42,346.85,349.25,349.782,346.154,335.068,329.122,268.98685,352.064570921299,352.064570921299,352.064570921299,352.064570921299,352.064570921299,6.84068372985217,5.13685346469745,10.3400781026345,31.7188872901608,1333.33333333333,5.6393752398949,63.0398059328068,-3.15261044176705,96.847389558233,0.0166100015759051,-1539279.99999991,80966128.0000003,7,4,341,49,0,0,0,0,0,0,0,2007,12,46.47,46.46,45.81,45.57,45.4,44.831,46.3042,1504.66,1507.34,1481.14,13625.58,13619.89,13371.72,359.57
358.35,362.76,357.36,359.57,7704600,14.999782972115,366.43006594423,306.43093405577,357.79,357.99,349.6,341.11,357.85,353.474,348.778,336.4305,330.635,269.6212,354.566380614199,354.566380614199,354.566380614199,354.566380614199,354.566380614199,7.45623494097214,5.60072975995239,9.98721538101775,32.308832139961,1333.33333333333,7.87207872078721,63.8945245275441,-6.93327537491849,93.0667246250815,0.0110552251498939,13714187.9999998,209950350,10,0,344,50,0,0,0,0,0,0,0,2007,12,46.66,46.47,46.46,45.19,45.716,44.944,46.3242,1515.96,1504.66,1472.42,13727.03,13625.58,13314.57,349.95
360.33,360.86,349.74,349.95,12265900,14.5058585170204,367.122217034041,309.098782965959,359.57,357.79,357.99,342.42,358.35,354.98,350.061,338.1105,331.8026,270.2479,353.027587076133,353.027587076133,353.027587076133,353.027587076133,353.027587076133,7.08612566260786,5.89780894048348,10.0681285680879,31.7983992511612,1333.33333333333,3.80576649264356,56.3148340513076,-30.9420289855073,69.0579710144927,0.0203350052659431,-117997958,412134240,11,1,345,50,0,0,0,0,0,0,0,2007,12,45.58,46.66,46.47,45,45.837,45.059,46.3122,1477.65,1515.96,1462.79,13432.77,13727.03,13248.73,350.03
357.36,357.52,344.59,350.03,12305800,14.6268298090592,368.335159618119,309.827840381882,349.95,359.57,357.79,349.6,360.33,355.066,350.416,339.0815,332.9534,270.8733,352.028391384089,352.028391384089,352.028391384089,352.028391384089,352.028391384089,6.72178220334683,6.06260359305615,10.2725479560816,30.684977001097,1333.33333333333,1.02459016393441,56.3611958490285,-34.1286863270778,65.8713136729222,0.0181392661029543,984463.999999804,238978635.999999,12,2,346,50,0,0,0,0,0,0,0,2007,12,45.99,45.58,46.66,45.81,45.864,45.1055,46.3081999999999,1486.59,1477.65,1485.01,13473.9,13432.77,13444.96,347.37
348.5,349.16,340.95,347.37,10071500,14.1013431984342,368.594686396868,312.189313603132,350.03,349.95,359.57,357.99,357.36,352.942,350.268,340.392,334.0548,271.48845,350.475594256059,350.475594256059,350.475594256059,350.475594256059,350.475594256059,6.14753268736348,6.07958941191762,10.1873659592187,29.2225048836611,1333.33333333333,-0.424251110792609,54.2977895092622,-41.2600536193029,58.7399463806971,0.012471273948826,-26790189.9999997,263974015,13,3,347,50,0,0,0,0,0,0,0,2007,12,45.74,45.99,45.58,46.46,45.847,45.1685,46.3056,1488.41,1486.59,1507.34,13517.96,13473.9,13619.89,345.33
344.1,350.2,343.97,345.33,7339600,12.8129421720887,367.527384344177,316.275615655823,347.37,350.03,349.95,357.79,348.5,350.45,350.116,341.9015,335.1654,272.1173,348.760396170706,348.760396170706,348.760396170706,348.760396170706,348.760396170706,5.46482970262019,5.95663747005813,9.90469696213161,27.9647911963703,1333.33333333333,-0.438229782326665,52.7041767101314,-46.7292225201072,53.2707774798928,0.0121193077681839,-14972784.0000002,221582524,14,4,348,50,0,0,0,0,0,0,0,2007,12,45.27,45.74,45.99,46.47,45.817,45.22,46.2913999999999,1467.95,1488.41,1504.66,13339.85,13517.96,13625.58,334.95
344.34,348.06,332.17,334.95,10961000,11.5578106991731,365.908121398346,319.676878601654,345.33,347.37,350.03,359.57,344.1,345.526,349.5,342.7925,335.918,272.68855,344.156930780471,344.156930780471,344.156930780471,344.156930780471,344.156930780471,4.03963699716468,5.57323737547944,10.3322186076936,26.4166976788782,1333.33333333333,-1.80586907449211,45.4023595681324,-90.9120627656098,9.08793723439024,0.0135093385353793,-113775180,195325020,17,0,351,51,0,0,0,0,0,0,0,2007,12,44.16,45.27,45.74,46.66,45.714,45.1955,46.2363999999999,1445.9,1467.95,1515.96,13167.2,13339.85,13727.03,337.01
